,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
5869,2,MECANICA DE SOLIDOS,1,2012,0,2012,9,18,0,[0],es_668,0.0
5905,2,DIBUJO MECANICO,1,2012,0,0,20,43,0,[0],es_892,0.0
5913,2,DIBUJO MECANICO,1,2012,1,2012,24,46,0,[5],es_894,5.0
5916,2,DIBUJO MECANICO,1,2012,1,2011,24,33,0,[5],es_906,5.0
5920,2,DIBUJO MECANICO,1,2012,0,0,24,43,0,[0],es_44,0.0
5921,2,DIBUJO MECANICO,1,2012,1,2011,24,45,0,[5],es_1026,5.0
5924,2,DIBUJO MECANICO,1,2012,1,2012,24,46,0,[5],es_900,5.0
5933,2,DIBUJO MECANICO,1,2012,1,2012,23,44,0,[5],es_909,5.0
5981,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,12,26,10,[2],es_892,2.0
5988,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,14,33,10,[5],es_894,5.0
5989,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,7,23,10,[2],es_896,2.0
5992,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,12,27,10,[4],es_898,4.0
6000,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,18,28,10,[5],es_900,5.0
6001,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,14,26,10,[4],es_583,4.0
6004,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2012,11,26,10,[3],es_56,3.0
6010,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,1,2011,19,22,8,[4],es_909,4.0
6012,2,SISTEMAS HIDRAULICOS Y NEUMATICOS,1,2012,0,2012,14,18,10,[0],es_901,0.0
6023,2,PROYECTO 2,1,2012,0,2012,24,36,10,[0],es_892,0.0
6024,2,PROYECTO 2,1,2012,1,2012,24,36,10,[5],es_894,5.0
6025,2,PROYECTO 2,1,2012,0,2012,24,36,10,[0],es_906,0.0
6026,2,PROYECTO 2,1,2012,1,2012,24,36,10,[5],es_1026,5.0
6027,2,PROYECTO 2,1,2012,1,2012,24,36,10,[5],es_900,5.0
6028,2,PROYECTO 2,1,2012,1,2012,24,36,10,[5],es_56,5.0
6029,2,PROYECTO 2,1,2012,1,2012,24,36,10,[5],es_909,5.0
6030,2,ROBOTICA 1,1,2012,1,2012,9,34,0,[4],es_33,4.0
6031,2,ROBOTICA 1,1,2012,1,2012,19,22,0,[2],es_906,2.0
6032,2,ROBOTICA 1,1,2012,1,2012,15,8,0,[3],es_899,3.0
6033,2,ROBOTICA 1,1,2012,1,2012,14,24,0,[3],es_1026,3.0
6034,2,ROBOTICA 1,1,2012,1,2012,14,30,0,[4],es_907,4.0
6035,2,ROBOTICA 1,1,2012,1,2012,24,29,0,[5],es_56,5.0
6036,2,ROBOTICA 1,1,2012,0,2012,13,24,0,[0],es_909,0.0
6037,2,ROBOTICA 1,1,2012,1,2012,22,35,0,[4],es_1027,4.0
6038,2,PROTOCOLO DE COMUNICACION,1,2012,1,2012,20,28,0,[5],es_33,5.0
6039,2,PROTOCOLO DE COMUNICACION,1,2012,1,2012,20,23,0,[3],es_899,3.0
6040,2,PROTOCOLO DE COMUNICACION,1,2012,1,2012,22,32,0,[5],es_907,5.0
6041,2,PROTOCOLO DE COMUNICACION,1,2012,1,2012,20,22,0,[4],es_1003,4.0
6042,2,PROTOCOLO DE COMUNICACION,1,2012,1,2012,28,25,0,[4],es_1027,4.0
6043,2,PROYECTO 4,1,2012,1,2012,18,30,10,[5],es_44,5.0
6044,2,PROYECTO 4,1,2012,1,2012,16,32,10,[5],es_907,5.0
6045,2,PROYECTO 4,1,2012,1,2012,19,23,10,[4],es_1027,4.0
6046,2,SISTEMAS DE CONTROL DIGITAL,1,2012,0,0,6,11,3,[0],es_33,0.0
6047,2,SISTEMAS DE CONTROL DIGITAL,1,2012,0,2012,10,12,9,[1],es_899,1.0
6048,2,SISTEMAS DE CONTROL DIGITAL,1,2012,0,2012,11,7,8,[1],es_907,1.0
6049,2,SISTEMAS DE CONTROL DIGITAL,1,2012,1,2012,14,17,9,[2],es_56,2.0
6050,2,SISTEMAS DE CONTROL DIGITAL,1,2012,1,2012,8,20,8,[4],es_1027,4.0
6051,2,CONTROLADORES LOGICOS,1,2012,1,2012,30,20,20,[5],es_29,5.0
6052,2,CONTROLADORES LOGICOS,1,2012,1,2012,30,20,20,[5],es_894,5.0
6053,2,CONTROLADORES LOGICOS,1,2012,1,2012,23,20,20,[5],es_906,5.0
6054,2,CONTROLADORES LOGICOS,1,2012,1,2012,30,20,20,[5],es_899,5.0
6055,2,CONTROLADORES LOGICOS,1,2012,1,2012,30,20,20,[5],es_900,5.0
6056,2,CONTROLADORES LOGICOS,1,2012,1,2012,30,20,20,[5],es_583,5.0
6057,2,CONTROLADORES LOGICOS,1,2012,1,2012,30,20,20,[5],es_51,5.0
6058,2,CONTROLADORES LOGICOS,1,2012,1,2012,23,20,20,[5],es_56,5.0
6059,2,PASANTIAS,2,2012,1,2012,0,1,0,[5],es_26,5.0
6060,2,PASANTIAS,2,2012,1,2012,0,1,0,[4],es_29,4.0
6061,2,PASANTIAS,2,2012,0,0,0,0,0,[0],es_899,0.0
6062,2,PASANTIAS,2,2012,1,2012,0,1,0,[4],es_44,4.0
6063,2,PASANTIAS,2,2012,1,2012,0,1,0,[5],es_51,5.0
6064,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,10,31,9,[4],es_494,4.0
6065,2,DISEÑO LOGICO DIGITAL,1,2012,0,0,19,0,8,[0],es_507,0.0
6066,2,DISEÑO LOGICO DIGITAL,1,2012,1,2011,15,19,5,[4],es_896,4.0
6067,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,24,30,10,[5],es_511,5.0
6068,2,DISEÑO LOGICO DIGITAL,1,2012,1,2011,0,0,0,[4],es_906,4.0
6069,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,12,33,9,[5],es_898,5.0
6070,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,7,11,9,[3],es_524,3.0
6071,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,19,35,10,[5],es_545,5.0
6072,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,15,22,9,[4],es_569,4.0
6073,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,21,29,8,[5],es_599,5.0
6074,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,19,29,9,[5],es_625,5.0
6075,2,DISEÑO LOGICO DIGITAL,1,2012,0,2012,21,18,8,[0],es_634,0.0
6076,2,DISEÑO LOGICO DIGITAL,1,2012,1,2012,16,28,6,[4],es_901,4.0
6077,2,REDES INDUSTRIALES Y SCADA,2,2012,1,2012,19,29,20,[5],es_33,5.0
6079,2,REDES INDUSTRIALES Y SCADA,2,2012,1,2012,20,30,20,[5],es_1026,5.0
6080,2,REDES INDUSTRIALES Y SCADA,2,2012,1,2012,18,27,20,[5],es_907,5.0
6083,2,REDES INDUSTRIALES Y SCADA,2,2012,1,2012,18,28,20,[5],es_1027,5.0
6084,2,CALCULO 5,1,2012,0,0,7,0,5,[0],es_495,0.0
6085,2,CALCULO 5,1,2012,0,0,5,11,6,[0],es_507,0.0
6086,2,CALCULO 5,1,2012,1,2012,22,32,10,[5],es_511,5.0
6087,2,CALCULO 5,1,2012,1,2012,11,25,6,[4],es_524,4.0
